DATE,EVENT_TYPE,VALUE
2010-03-11,EXTREME_HEAT,35.1
2010-04-03,EXTREME_HEAT,36.16
2010-04-18,EXTREME_HUMIDITY,85.1
2010-04-19,EXTREME_HUMIDITY,84.49
2010-04-24,PROLONGED_RAIN,3.0
2010-04-28,PROLONGED_RAIN,3.0
2010-05-11,EXTREME_HUMIDITY,87.06
2010-05-19,EXTREME_HUMIDITY,86.67
2010-05-20,EXTREME_HUMIDITY,85.32
2010-05-20,PROLONGED_RAIN,3.0
2010-05-21,EXTREME_HUMIDITY,85.46
2010-05-21,PROLONGED_RAIN,4.0
2010-05-22,PROLONGED_RAIN,5.0
2010-05-22,EXTREME_HUMIDITY,84.55
2010-05-23,EXTREME_HUMIDITY,83.98
2010-05-24,EXTREME_HUMIDITY,83.55
2010-05-25,EXTREME_HUMIDITY,85.79
2010-05-26,EXTREME_HUMIDITY,83.86
2010-05-31,EXTREME_HUMIDITY,83.87
2010-06-01,PROLONGED_RAIN,3.0
2010-06-02,PROLONGED_RAIN,4.0
2010-06-06,PROLONGED_RAIN,3.0
2010-06-07,PROLONGED_RAIN,4.0
2010-06-08,PROLONGED_RAIN,5.0
2010-06-09,PROLONGED_RAIN,6.0
2010-06-10,EXTREME_HUMIDITY,83.81
2010-06-10,PROLONGED_RAIN,7.0
2010-06-11,HEAVY_RAIN,33.46
2010-06-11,PROLONGED_RAIN,8.0
2010-06-11,EXTREME_HUMIDITY,86.73
2010-06-12,EXTREME_HUMIDITY,88.71
2010-06-12,PROLONGED_RAIN,9.0
2010-06-12,HEAVY_RAIN,46.83
2010-06-13,PROLONGED_RAIN,10.0
2010-06-13,HEAVY_RAIN,44.98
2010-06-13,EXTREME_HUMIDITY,86.88
2010-06-14,HEAVY_RAIN,87.14
2010-06-14,EXTREME_HUMIDITY,87.34
2010-06-14,PROLONGED_RAIN,11.0
2010-06-15,HEAVY_RAIN,49.42
2010-06-15,PROLONGED_RAIN,12.0
2010-06-15,EXTREME_HUMIDITY,90.07
2010-06-16,HEAVY_RAIN,44.67
2010-06-16,PROLONGED_RAIN,13.0
2010-06-16,EXTREME_HUMIDITY,89.4
2010-06-17,HEAVY_RAIN,56.58
2010-06-17,PROLONGED_RAIN,14.0
2010-06-17,EXTREME_HUMIDITY,86.49
2010-06-18,EXTREME_HUMIDITY,88.67
2010-06-18,PROLONGED_RAIN,15.0
2010-06-19,EXTREME_HUMIDITY,89.85
2010-06-19,PROLONGED_RAIN,16.0
2010-06-20,EXTREME_HUMIDITY,87.73
2010-06-20,PROLONGED_RAIN,17.0
2010-06-21,PROLONGED_RAIN,18.0
2010-06-21,EXTREME_HUMIDITY,88.3
2010-06-22,HEAVY_RAIN,42.12
2010-06-22,EXTREME_HUMIDITY,89.7
2010-06-22,PROLONGED_RAIN,19.0
2010-06-23,HEAVY_RAIN,32.22
2010-06-23,EXTREME_HUMIDITY,88.87
2010-06-23,PROLONGED_RAIN,20.0
2010-06-24,HEAVY_RAIN,64.33
2010-06-24,PROLONGED_RAIN,21.0
2010-06-24,EXTREME_HUMIDITY,91.63
2010-06-25,PROLONGED_RAIN,22.0
2010-06-25,HEAVY_RAIN,100.2
2010-06-25,EXTREME_HUMIDITY,90.45
